feature_set,model,auc,precision,recall,f1
text_only,RF,0.629,0.5759,0.5884,0.5821
text_only,LR,0.7295,0.642,0.7282,0.6824
graph_basic,RF,0.686,0.8155,0.3983,0.5352
graph_basic,LR,0.6644,0.885,0.4193,0.569
graph_triangle,RF,0.5879,0.6489,0.3836,0.4822
graph_triangle,LR,0.7153,0.8374,0.4535,0.5884
graph_community,RF,0.6118,0.7177,0.3145,0.4373
graph_community,LR,0.667,0.8563,0.3124,0.4578
combined,RF,0.6926,0.7622,0.3697,0.4979
combined,LR,0.7649,0.862,0.3536,0.5015
semantic,RF,0.6471,0.7129,0.399,0.5116
semantic,LR,0.6528,0.6807,0.4528,0.5439
combined_full,RF,0.7259,0.7874,0.3829,0.5153
combined_full,LR,0.7777,0.873,0.3892,0.5384
