case_name,betweenness
Rescue Army V Municipal Court Of Los Angeles,0.004045
Shapiro V Thompson,0.002832
United States V Butler,0.002782
United States V Obrien,0.00259
National Labor Relations Board V Fruit Vegetable Packers Warehousemen,0.00254
Alabama State Federation Of Labor V Mcadory,0.00241
Dandridge V Williams,0.002398
Griffin V Illinois,0.002339
Textile Workers V Lincoln Mills Of Ala,0.002304
Panama Refining Co V Ryan,0.002125
Murdock V Pennsylvania,0.002035
United States V Socony Vacuum Oil Co,0.002015
Roe V Wade,0.001833
Monroe V Pape,0.001758
West Virginia State Board Of Education V Barnette,0.001612
United States V American Trucking Associations,0.001591
Frank V Mangum,0.001545
Rose V Mitchell,0.001526
Greene V Mcelroy,0.001524
Edelman V Jordan,0.001505
